post_id,platform,post_date,post_time,content_type,post_length,likes,comments,shares,saves,views,reach,impressions,profile_visits,followers,engagement_rate,audience_location,audience_age_group
P0226,YouTube,3/3/2023,2:34,Reel,233,139,25,8,9,22350,12355,12365,117,10,1.39,Kathmandu,25-34
P0227,TikTok,4/30/2023,8:01,Story,259,943,24,23,55,48074,10073,10989,22,112,9.01,Kathmandu,25-34
P0228,YouTube,1/22/2023,15:18,Reel,85,192,15,17,8,25721,2798,3088,91,142,7.25,Barcelona,18-24
P0229,YouTube,6/22/2023,12:02,Video,71,3466,456,113,230,38311,22835,25132,297,87,16.06,Kathmandu,25-34
P0230,Instagram,6/14/2023,0:34,Text,97,1686,159,70,78,35116,16999,17984,147,83,10.65,Rasuwa,45-54
P0231,Twitter,7/13/2023,20:26,Video,66,3370,230,38,125,29859,24174,24770,84,95,14.69,Real Madrid,45-54
P0232,Instagram,7/5/2023,7:39,Text,122,1751,322,65,16,41994,46320,47007,184,38,4.55,Kathmandu,35-44
P0233,Twitter,4/12/2023,11:45,Story,246,1227,172,56,63,1846,8628,9147,264,26,15.91,Rasuwa,18-24
P0234,TikTok,6/20/2023,20:07,Story,275,283,29,7,0,38129,20010,20125,250,58,1.59,Barcelona,25-34
P0235,TikTok,10/15/2023,12:20,Image,242,1418,55,62,56,10275,9100,9773,105,120,15.71,Real Madrid,18-24
P0236,Twitter,1/30/2023,23:36,Text,72,1012,85,38,36,21516,13169,14340,115,65,7.91,Rasuwa,35-44
P0237,Twitter,8/27/2023,16:54,Story,127,1551,196,70,86,51860,9006,9262,45,28,19.62,Pokhara,35-44
P0238,YouTube,10/17/2023,18:18,Video,52,5764,217,104,23,43451,35807,37365,84,81,16.29,Barcelona,45-54
P0239,Twitter,11/21/2023,11:56,Reel,77,1941,69,57,101,46954,24638,26689,46,23,7.74,Rasuwa,25-34
P0240,Instagram,3/18/2023,6:49,Video,203,2483,449,240,148,5028,12565,12879,12,85,24.63,Real Madrid,35-44
P0241,YouTube,6/25/2023,12:13,Story,57,388,35,10,0,13861,38153,39520,295,135,1.1,Pokhara,45-54
P0242,Twitter,10/12/2023,4:26,Reel,110,7202,1437,252,120,28484,45841,48357,211,64,18.39,Barcelona,18-24
P0243,Instagram,8/4/2023,1:06,Video,237,1294,83,36,56,7378,39744,42568,132,49,3.32,Barcelona,35-44
P0244,TikTok,6/13/2023,12:25,Image,108,2074,396,135,122,45926,9968,10877,332,12,23.95,Real Madrid,18-24
P0245,Instagram,9/6/2023,14:01,Image,204,3308,119,159,16,34097,38824,42643,246,90,8.41,Pokhara,35-44
P0246,TikTok,1/18/2023,3:15,Image,79,4352,452,57,10,43022,25395,26623,323,75,18.26,Pokhara,35-44
P0247,TikTok,10/22/2023,1:38,Story,183,533,45,48,26,2193,5639,5841,199,76,10.72,Barcelona,45-54
P0248,TikTok,8/24/2023,14:31,Story,94,2061,181,97,32,18903,15140,16644,330,42,14.05,Real Madrid,35-44
P0249,YouTube,11/23/2023,7:07,Image,85,2130,10,51,6,57245,13489,14579,162,51,15.03,Pokhara,18-24
P0250,TikTok,7/18/2023,2:58,Reel,241,5266,533,508,325,50773,25612,27782,265,47,22.7,Pokhara,45-54
P0251,Instagram,2/9/2023,14:09,Text,280,2981,463,6,195,43873,26554,27851,232,56,12.39,Barcelona,35-44
P0252,Instagram,4/7/2023,4:28,Video,225,8709,43,465,428,19578,42715,43718,146,16,21.08,Kathmandu,45-54
P0253,Twitter,8/13/2023,19:14,Image,228,2057,280,194,28,51050,13304,14246,140,12,17.77,Barcelona,45-54
P0254,TikTok,11/9/2023,9:23,Text,186,8036,1523,123,161,44761,38193,40853,80,104,23.7,Barcelona,45-54
P0255,Twitter,10/11/2023,14:13,Text,213,1519,272,15,16,23499,45905,47135,303,116,3.83,Rasuwa,45-54
P0256,Instagram,3/9/2023,20:33,Video,50,1479,38,118,40,42338,18704,19396,312,31,8.43,Real Madrid,18-24
P0257,Instagram,1/15/2023,19:21,Story,90,75,11,5,4,17032,1533,1592,11,30,5.72,Real Madrid,35-44
P0258,TikTok,5/27/2023,14:12,Video,210,119,19,10,2,18721,19783,19829,266,94,0.75,Real Madrid,25-34
P0259,TikTok,2/21/2023,20:16,Text,134,2155,404,102,41,53194,10927,12134,172,67,21.93,Kathmandu,25-34
P0260,TikTok,8/10/2023,2:47,Reel,88,4921,387,302,9,11742,26096,27507,90,124,20.39,Kathmandu,45-54
P0261,Instagram,6/20/2023,20:20,Reel,241,2174,402,121,50,5359,11297,11930,293,109,22.61,Barcelona,25-34
P0262,Twitter,9/4/2023,18:30,Story,181,1050,203,51,51,21224,13071,13879,203,34,9.4,Barcelona,35-44
P0263,TikTok,9/23/2023,0:10,Reel,88,6068,88,259,151,4387,36170,36407,77,106,17.62,Rasuwa,45-54
P0264,TikTok,3/7/2023,7:46,Video,243,511,29,6,8,50818,8427,8474,296,101,6.44,Barcelona,45-54
P0265,Instagram,6/19/2023,2:50,Reel,135,2782,142,12,54,57832,32434,32778,315,35,8.96,Kathmandu,45-54
P0266,TikTok,10/6/2023,9:50,Video,211,3740,363,92,183,47186,26869,29020,23,33,14.46,Pokhara,45-54
P0267,YouTube,5/5/2023,16:21,Story,68,3485,562,187,172,33335,24861,26666,178,68,15.88,Rasuwa,18-24
P0268,Twitter,6/2/2023,10:05,Text,166,2163,154,81,93,49209,11436,12551,45,29,19.11,Barcelona,35-44
P0269,YouTube,5/27/2023,20:11,Text,171,9013,1382,52,96,58314,42196,46135,136,38,22.64,Rasuwa,25-34
P0270,TikTok,11/23/2023,13:41,Reel,61,2371,447,180,9,19190,21562,23856,19,51,12.57,Real Madrid,45-54
P0271,Instagram,2/21/2023,14:33,Video,173,310,62,12,3,52147,2174,2234,343,127,17.19,Rasuwa,25-34
P0272,TikTok,4/12/2023,22:50,Reel,124,176,29,11,9,56570,2257,2291,186,31,9.43,Real Madrid,25-34
P0273,YouTube,10/27/2023,20:56,Story,226,4532,456,389,182,25362,31385,32339,110,62,16.63,Rasuwa,35-44
P0274,TikTok,11/14/2023,22:18,Text,259,4845,537,271,37,18841,23468,24416,280,130,23.15,Barcelona,35-44
P0275,Twitter,8/14/2023,15:39,Story,129,173,29,15,6,36554,41534,42233,99,42,0.51,Real Madrid,25-34
P0276,TikTok,2/26/2023,22:49,Video,80,3398,51,209,149,53944,33636,34280,25,97,10.67,Pokhara,18-24
P0277,Instagram,8/30/2023,17:56,Video,109,884,162,8,8,26169,11963,12225,49,104,8.62,Kathmandu,45-54
P0278,Instagram,8/30/2023,4:41,Reel,221,3637,269,260,224,43580,33642,35825,170,80,11.63,Rasuwa,18-24
P0279,Twitter,12/19/2023,1:30,Image,256,2053,325,149,17,17297,18314,18501,251,136,13.66,Pokhara,35-44
P0280,TikTok,5/8/2023,1:01,Text,217,1195,81,6,63,18785,10614,11184,273,98,11.46,Barcelona,45-54
P0281,Twitter,2/13/2023,13:40,Video,186,779,81,35,31,58732,21972,23221,214,115,3.85,Kathmandu,18-24
P0282,Instagram,9/26/2023,23:34,Video,160,5501,891,125,334,6718,34377,35385,58,67,18.42,Real Madrid,45-54
P0283,TikTok,12/5/2023,13:24,Video,134,2842,375,249,54,57265,30081,30781,129,80,11.26,Rasuwa,25-34
P0284,Twitter,2/24/2023,13:25,Reel,81,269,32,13,12,25581,7192,7766,129,133,4.04,Pokhara,45-54
P0285,Instagram,2/4/2023,23:29,Reel,219,5176,898,512,33,8670,40023,42451,147,91,15.51,Rasuwa,18-24
P0286,Twitter,10/31/2023,22:14,Story,100,2779,172,106,79,27399,19531,21434,313,104,14.26,Pokhara,45-54
P0287,Instagram,5/5/2023,8:59,Video,205,1226,67,36,16,4634,38960,42050,315,94,3.16,Rasuwa,25-34
P0288,Instagram,1/24/2023,2:06,Text,259,1851,218,48,68,40796,19464,19660,75,5,10.77,Rasuwa,35-44
P0289,YouTube,4/30/2023,8:20,Story,53,1040,148,81,56,59659,16176,17613,136,34,7.2,Rasuwa,35-44
P0290,YouTube,6/19/2023,20:48,Video,241,443,59,10,12,19352,13965,14683,66,20,3.49,Real Madrid,18-24
P0291,Instagram,10/22/2023,0:37,Reel,63,9406,752,855,165,26607,43139,47224,160,67,23.32,Pokhara,25-34
P0292,Instagram,12/19/2023,2:55,Image,143,3809,119,234,100,16709,39455,42983,334,57,9.68,Kathmandu,25-34
P0293,Instagram,8/11/2023,21:30,Reel,99,3918,718,303,71,35943,24803,26586,254,115,18.58,Rasuwa,45-54
P0294,Twitter,6/28/2023,3:56,Text,267,3627,720,87,102,55795,30872,31449,210,36,14.1,Kathmandu,18-24
P0295,Twitter,4/5/2023,19:32,Story,51,1579,283,50,46,30878,18022,19204,312,78,9.96,Barcelona,25-34
P0296,TikTok,11/2/2023,18:19,Image,180,5588,61,546,335,41112,36987,40208,14,21,15.41,Rasuwa,45-54
P0297,YouTube,12/26/2023,13:32,Reel,144,176,18,8,3,46990,14793,15299,63,26,1.32,Kathmandu,35-44
P0298,Instagram,10/3/2023,12:13,Reel,108,735,125,19,24,46451,8158,8307,168,96,10.58,Barcelona,35-44
P0299,Twitter,10/29/2023,11:08,Reel,86,1910,147,73,91,56728,11818,12909,151,105,16.5,Kathmandu,25-34
P0300,YouTube,8/7/2023,18:25,Reel,60,1331,264,125,63,41949,14754,14944,299,6,11.51,Real Madrid,45-54
P0301,Twitter,9/11/2023,9:37,Image,173,1758,198,159,33,31053,20602,21810,320,5,9.7,Barcelona,45-54
P0302,YouTube,8/15/2023,9:20,Reel,155,876,116,14,14,57068,4366,4630,304,136,21.73,Kathmandu,25-34
P0303,Twitter,8/8/2023,8:46,Story,231,1157,162,60,44,5132,20865,22525,308,36,6.12,Kathmandu,45-54
P0304,YouTube,6/24/2023,3:38,Reel,252,3733,555,242,240,14655,23856,24368,191,127,18.59,Rasuwa,25-34
P0305,TikTok,11/9/2023,3:59,Video,62,1372,162,36,57,45437,8378,8661,124,58,18.13,Barcelona,18-24
P0306,Instagram,3/15/2023,9:28,Text,78,521,93,51,32,42396,7989,8667,253,97,7.67,Real Madrid,18-24
P0307,Instagram,5/2/2023,4:13,Text,147,612,68,57,8,7046,13378,14100,247,142,5.23,Barcelona,45-54
P0308,Twitter,9/30/2023,11:43,Video,190,364,26,13,22,59512,3530,3576,335,15,11.27,Real Madrid,18-24
P0309,TikTok,3/30/2023,2:15,Text,242,5812,965,105,136,48331,27805,29600,226,111,23.25,Kathmandu,18-24
P0310,Instagram,12/17/2023,9:19,Text,93,56,10,5,1,44442,11099,11173,58,120,0.64,Barcelona,25-34
P0311,Twitter,11/29/2023,1:24,Video,76,3633,145,254,158,4481,35489,36806,264,139,10.95,Real Madrid,45-54
P0312,Twitter,1/1/2024,15:23,Reel,242,3404,210,317,53,32338,48275,48750,60,72,8.06,Kathmandu,35-44
P0313,TikTok,1/14/2023,8:21,Story,117,1672,237,155,49,8290,35494,39032,272,84,5.29,Rasuwa,25-34
P0314,TikTok,5/13/2023,11:17,Image,224,3023,64,182,95,25275,21021,22314,244,131,14.65,Real Madrid,25-34
P0315,Twitter,12/29/2023,16:03,Story,80,3992,231,269,64,21500,30845,32105,305,39,13.99,Real Madrid,35-44
P0316,Instagram,3/29/2023,8:32,Image,165,4825,908,107,270,41793,26503,28484,71,128,20.5,Rasuwa,35-44
P0317,YouTube,9/6/2023,20:03,Video,259,4558,498,54,281,21992,31722,32301,341,112,15.82,Pokhara,45-54
P0318,Twitter,1/14/2023,23:17,Story,145,191,14,17,6,8598,25789,25933,281,34,0.86,Real Madrid,25-34
P0319,TikTok,6/21/2023,1:56,Text,121,752,67,51,40,26631,39385,40978,224,37,2.12,Kathmandu,45-54
P0320,Instagram,9/5/2023,11:43,Text,139,2256,258,89,88,29499,13610,13729,92,61,18.96,Barcelona,25-34
P0321,TikTok,11/9/2023,9:08,Image,60,1032,95,28,40,19079,6286,6965,122,43,16.58,Barcelona,25-34
P0322,TikTok,12/2/2023,5:46,Image,228,1014,190,42,42,38945,5141,5307,135,44,23.48,Real Madrid,25-34
P0323,YouTube,4/13/2023,4:27,Video,77,7058,694,673,233,16838,36661,36939,209,134,22.81,Pokhara,45-54
P0324,Twitter,12/15/2023,8:38,Image,75,1431,211,99,42,24394,7775,8203,311,88,21.22,Real Madrid,18-24
P0325,YouTube,8/23/2023,15:25,Story,168,53,10,5,1,56934,3245,3249,300,19,2.09,Real Madrid,18-24
P0326,Instagram,4/29/2023,13:05,Reel,183,56,11,5,2,7470,3444,3544,103,62,2.03,Barcelona,35-44
P0327,YouTube,10/5/2023,3:25,Story,259,119,14,9,4,19808,26705,26716,37,8,0.53,Rasuwa,25-34
P0328,YouTube,2/23/2023,4:55,Text,158,3723,489,101,53,21314,35075,35828,236,98,12.04,Kathmandu,35-44
P0329,Twitter,9/18/2023,8:14,Text,277,261,17,13,6,6733,3502,3723,183,102,7.82,Rasuwa,25-34
P0330,Twitter,2/21/2023,15:59,Text,139,3124,449,266,57,5874,23875,24290,159,115,15.8,Rasuwa,18-24
P0331,Twitter,6/9/2023,8:05,Reel,60,3547,323,216,117,48421,19957,21964,225,70,18.6,Rasuwa,35-44
P0332,Twitter,12/6/2023,23:44,Reel,140,179,19,5,0,26744,6882,6882,90,66,2.95,Rasuwa,18-24
P0333,YouTube,4/3/2023,7:33,Story,101,1279,228,80,57,3946,17987,19823,146,107,8.01,Real Madrid,18-24
P0334,TikTok,5/1/2023,16:07,Story,205,306,51,26,17,5931,7312,8033,14,6,4.77,Real Madrid,45-54
P0335,Twitter,5/26/2023,7:46,Reel,75,387,56,24,6,57004,10337,10701,269,9,4.36,Barcelona,35-44
P0336,Instagram,4/24/2023,14:41,Reel,154,1259,92,28,39,19200,11899,12938,342,125,10.66,Kathmandu,35-44
P0337,Twitter,6/27/2023,6:09,Image,155,987,79,47,20,12114,7239,7939,243,143,14.02,Real Madrid,25-34
P0338,Twitter,6/5/2023,3:07,Reel,187,2012,197,89,45,25561,11256,12351,184,108,18.61,Pokhara,25-34
P0339,YouTube,11/15/2023,21:00,Video,214,1670,237,163,96,18863,13342,13973,265,72,14.81,Rasuwa,45-54
P0340,Instagram,1/15/2023,8:04,Story,77,5103,460,73,276,48092,33613,34452,176,94,16.36,Real Madrid,25-34
P0341,TikTok,5/28/2023,17:16,Story,238,3507,261,5,130,1055,23834,24871,24,84,15.17,Barcelona,25-34
P0342,TikTok,7/23/2023,12:11,Image,79,1546,56,84,80,58497,15985,17565,38,92,9.6,Pokhara,35-44
P0343,TikTok,1/18/2023,18:26,Story,84,745,86,33,30,54262,4019,4396,219,45,19.65,Barcelona,18-24
P0344,TikTok,4/8/2023,15:21,Video,103,192,20,16,0,5169,2180,2388,319,150,9.55,Rasuwa,35-44
P0345,YouTube,5/24/2023,16:38,Story,99,4451,557,33,117,28514,32716,35400,13,140,14.24,Real Madrid,45-54
P0346,Instagram,8/19/2023,12:12,Reel,229,8224,1225,700,306,32819,48475,49064,241,84,20.69,Barcelona,25-34
P0347,Instagram,6/3/2023,3:53,Reel,126,3737,428,145,73,57505,37084,41002,286,44,10.51,Kathmandu,45-54
P0348,Twitter,9/4/2023,7:39,Reel,230,4524,391,308,205,8037,39071,41253,342,148,12.66,Barcelona,25-34
P0349,Twitter,2/19/2023,8:31,Story,218,2033,63,140,54,31597,38930,42839,89,37,5.22,Kathmandu,25-34
P0350,YouTube,5/18/2023,1:58,Reel,264,4669,101,375,184,47177,24472,24882,104,7,20.68,Rasuwa,45-54
P0351,Instagram,7/2/2023,11:48,Story,270,476,39,38,15,23520,7431,7801,21,35,7.09,Kathmandu,25-34
P0352,Twitter,2/1/2023,9:47,Reel,232,2987,149,230,64,36579,21492,22542,172,71,14.93,Real Madrid,25-34
P0353,YouTube,11/9/2023,2:12,Story,181,627,35,38,25,55958,4239,4607,20,110,15.19,Pokhara,18-24
P0354,TikTok,2/2/2023,10:43,Reel,127,1807,15,91,30,35433,21744,23550,216,19,8.12,Barcelona,45-54
P0355,Instagram,8/1/2023,11:00,Image,277,3563,429,215,132,19671,34845,37022,225,51,11.36,Barcelona,25-34
P0356,Twitter,6/15/2023,13:45,Video,185,5537,190,67,156,32604,33984,36909,142,51,15.7,Rasuwa,18-24
P0357,YouTube,1/14/2023,17:02,Video,276,618,43,18,24,29081,3406,3646,215,33,18.62,Real Madrid,35-44
P0358,YouTube,8/10/2023,4:18,Video,266,598,82,13,6,49517,21019,21021,291,144,3.3,Real Madrid,25-34
P0359,YouTube,3/18/2023,20:57,Image,71,2532,37,21,25,55825,37950,38675,34,111,6.7,Real Madrid,25-34
P0360,YouTube,9/14/2023,13:02,Image,137,423,71,27,11,35135,30469,33569,186,38,1.55,Pokhara,45-54
P0361,Instagram,12/26/2023,15:18,Image,75,6370,520,220,93,37264,34658,38271,295,133,18.58,Rasuwa,25-34
P0362,YouTube,4/5/2023,8:40,Reel,181,3485,537,306,171,14901,27992,29253,336,150,14.8,Barcelona,45-54
P0363,Twitter,4/3/2023,15:42,Image,199,137,11,7,2,58740,1925,2107,27,80,7.36,Rasuwa,35-44
P0364,Instagram,3/24/2023,20:56,Story,268,1763,196,155,87,12800,23637,25832,294,130,8.18,Kathmandu,18-24
P0365,Twitter,10/5/2023,10:54,Video,273,2407,108,224,116,14425,21990,22473,343,76,12.19,Pokhara,25-34
P0366,TikTok,10/20/2023,1:10,Image,181,1503,289,125,83,11273,13354,14721,10,121,13.02,Barcelona,18-24
P0367,Instagram,11/17/2023,21:08,Text,269,1224,91,89,71,23123,30779,34141,81,17,4.11,Real Madrid,45-54
P0368,Twitter,5/6/2023,1:17,Story,103,3597,477,350,8,25236,20559,20897,31,44,21.17,Pokhara,45-54
P0369,Twitter,2/11/2023,6:04,Image,104,477,13,10,11,53210,2761,2951,240,72,16.94,Rasuwa,35-44
P0370,Instagram,5/16/2023,11:00,Image,123,2495,36,72,47,32754,18674,19749,50,101,13.18,Rasuwa,35-44
P0371,Instagram,9/18/2023,12:49,Video,65,3040,468,91,83,24664,18072,18315,265,118,19.65,Real Madrid,35-44
P0372,Instagram,4/13/2023,12:42,Story,58,178,30,16,9,15809,1146,1160,175,148,19.31,Rasuwa,45-54
P0373,Twitter,5/7/2023,6:22,Image,219,3692,357,44,216,5881,43552,44018,313,98,9.3,Kathmandu,45-54
P0374,TikTok,2/12/2023,19:34,Video,280,3243,570,318,202,28169,16749,17936,77,91,23.03,Pokhara,25-34
P0375,Instagram,6/12/2023,3:48,Reel,171,5166,758,116,43,50578,24933,27530,307,91,21.94,Real Madrid,25-34
P0376,YouTube,8/1/2023,19:49,Story,279,1894,290,22,48,21011,41258,43045,311,23,5.12,Barcelona,35-44
P0377,TikTok,3/12/2023,20:38,Image,212,158,29,15,7,14932,40592,42189,80,118,0.48,Real Madrid,18-24
P0378,Twitter,6/14/2023,17:14,Reel,188,1458,65,103,67,12952,31705,35186,179,93,4.62,Kathmandu,18-24
P0379,TikTok,11/5/2023,14:35,Video,129,1088,65,26,54,47519,37857,38293,335,96,3.08,Kathmandu,18-24
P0380,TikTok,10/8/2023,20:57,Image,131,4422,89,261,116,53777,36656,40621,222,75,11.75,Real Madrid,25-34
P0381,Instagram,7/2/2023,15:04,Image,219,1383,61,27,41,44953,25749,27234,312,20,5.4,Kathmandu,18-24
P0382,TikTok,8/7/2023,2:13,Video,263,118,19,5,5,13079,1004,1077,19,85,13.18,Kathmandu,45-54
P0383,YouTube,8/5/2023,21:27,Reel,99,946,15,45,50,24435,4706,4760,279,127,21.13,Rasuwa,35-44
P0384,Twitter,12/31/2023,16:05,Reel,201,949,54,64,22,11519,19888,20426,178,57,5.22,Barcelona,25-34
P0385,Instagram,9/18/2023,19:43,Image,269,1340,203,65,33,25203,12664,13697,28,132,11.74,Pokhara,25-34
P0386,Twitter,3/30/2023,21:35,Video,240,7124,290,496,286,43362,35473,39223,248,72,20.17,Kathmandu,45-54
P0387,Instagram,8/20/2023,23:21,Video,98,637,69,61,27,29160,16912,17024,258,36,4.51,Pokhara,45-54
P0388,TikTok,2/12/2023,19:56,Video,242,830,21,64,3,21054,29463,32632,37,70,2.8,Pokhara,25-34
P0389,YouTube,8/1/2023,23:21,Text,171,1555,302,61,26,25548,17929,19632,201,77,9.77,Real Madrid,18-24
P0390,YouTube,6/22/2023,16:40,Text,199,94,10,8,5,2027,6985,7403,112,74,1.51,Kathmandu,45-54
P0391,TikTok,9/6/2023,8:21,Text,170,205,21,5,7,51526,2473,2509,52,69,9.21,Barcelona,35-44
P0392,TikTok,9/22/2023,12:29,Text,265,3196,610,102,63,17025,33635,37266,194,71,10.49,Pokhara,45-54
P0393,Instagram,10/19/2023,4:46,Reel,213,4944,337,402,159,4538,27983,29012,139,59,19.59,Pokhara,35-44
P0394,Twitter,10/11/2023,20:29,Image,164,3711,520,140,181,57401,38177,39107,72,46,11.18,Kathmandu,18-24
P0395,Instagram,8/21/2023,4:48,Image,149,1260,243,55,67,52214,9825,10806,275,74,14.42,Pokhara,25-34
P0396,YouTube,10/8/2023,16:38,Image,277,1161,125,22,35,21357,27243,29034,292,9,4.51,Real Madrid,35-44
P0397,TikTok,5/2/2023,0:42,Video,68,1407,114,102,34,29464,12089,13251,240,126,12.25,Rasuwa,35-44
P0398,YouTube,11/30/2023,2:41,Story,203,4915,56,285,15,55189,47637,49732,89,121,10.57,Kathmandu,18-24
P0399,TikTok,12/9/2023,17:24,Story,216,883,74,50,56,1529,13623,13739,218,127,7.33,Pokhara,35-44
P0400,TikTok,5/11/2023,11:35,Story,248,5382,1033,24,221,5030,43822,48054,82,112,13.4,Rasuwa,25-34
P0401,Twitter,7/1/2023,23:00,Reel,63,2540,59,38,135,53793,11652,12860,31,145,20.51,Rasuwa,35-44
P0402,Twitter,3/18/2023,8:18,Story,196,113,11,5,1,45343,27700,29430,96,54,0.44,Barcelona,25-34
P0403,Twitter,4/28/2023,6:24,Story,211,2886,280,133,89,30561,14846,15939,87,56,20.7,Kathmandu,25-34
P0404,Twitter,10/27/2023,16:35,Story,105,1518,52,128,85,52599,11685,12858,333,64,13.21,Rasuwa,18-24
P0405,Twitter,9/1/2023,19:38,Text,249,5547,808,264,127,54651,36445,37509,242,65,17.65,Pokhara,35-44
P0406,Instagram,11/15/2023,21:37,Reel,53,246,27,13,8,36442,5888,5911,213,7,4.84,Kathmandu,18-24
P0407,YouTube,6/5/2023,16:03,Text,76,563,29,33,36,47231,10487,11396,108,65,5.48,Pokhara,45-54
P0408,Twitter,12/18/2023,11:50,Text,133,73,13,5,1,14022,15318,15330,106,45,0.59,Barcelona,18-24
P0409,Twitter,1/12/2023,20:56,Image,113,3069,360,268,203,4754,18740,19032,275,74,19.43,Kathmandu,18-24
P0410,Instagram,4/24/2023,20:12,Video,98,515,34,6,23,42234,10763,11735,72,51,4.73,Kathmandu,45-54
P0411,Twitter,1/13/2023,2:16,Reel,114,6303,375,313,75,17600,38975,39554,80,121,17.67,Pokhara,45-54
P0412,TikTok,6/25/2023,14:34,Video,82,4906,335,244,320,15007,39119,40376,46,8,13.58,Pokhara,35-44
P0413,Instagram,11/24/2023,7:47,Reel,78,3574,190,341,230,36583,39430,39739,30,97,10.33,Kathmandu,45-54
P0414,Instagram,10/30/2023,19:43,Text,128,8327,748,671,531,8657,44516,48584,196,130,20.06,Kathmandu,25-34
P0415,Twitter,10/5/2023,1:01,Video,74,651,125,8,9,18447,18408,19999,208,40,3.92,Rasuwa,25-34
P0416,TikTok,7/21/2023,2:49,Image,116,5983,378,150,341,57093,31660,34798,211,113,18.71,Rasuwa,25-34
P0417,Twitter,5/12/2023,13:05,Image,163,266,22,14,0,21524,3428,3612,116,18,8.36,Rasuwa,25-34
P0418,YouTube,12/24/2023,6:41,Story,54,1994,75,116,119,46091,24740,26060,234,144,8.38,Rasuwa,35-44
P0419,TikTok,9/6/2023,3:49,Video,104,1632,102,54,87,33063,11519,12784,118,33,13.99,Rasuwa,45-54
P0420,Instagram,7/1/2023,21:03,Image,132,2223,256,16,63,56630,18202,19254,110,50,12.96,Kathmandu,35-44
P0421,Instagram,5/24/2023,2:09,Video,58,7903,114,428,304,53584,46429,49692,307,96,16.99,Kathmandu,35-44
P0422,Instagram,11/19/2023,0:59,Reel,209,215,15,18,3,23672,19926,21917,72,14,1.13,Barcelona,18-24
P0423,Twitter,4/20/2023,20:45,Story,270,1224,67,50,28,37843,13918,14754,298,122,9.09,Real Madrid,25-34
P0424,Instagram,2/2/2023,12:08,Reel,200,502,98,31,3,29720,13321,14457,193,48,4.36,Barcelona,45-54
P0425,Instagram,1/30/2023,20:42,Story,233,224,40,17,0,18205,8234,8522,304,16,3.3,Pokhara,25-34
P0426,TikTok,7/24/2023,6:03,Video,139,5423,24,116,197,13272,32635,35244,44,135,15.78,Pokhara,45-54
P0427,YouTube,12/6/2023,10:21,Video,93,5306,755,160,112,14450,44674,45630,211,110,13.63,Pokhara,25-34
P0428,Instagram,8/12/2023,21:45,Story,76,6314,213,16,118,39379,30475,31629,55,130,20.69,Rasuwa,18-24
P0429,Instagram,7/3/2023,5:30,Video,70,513,16,23,5,3845,19995,21202,196,60,2.6,Barcelona,45-54
P0430,Instagram,12/31/2023,1:40,Reel,265,3924,187,115,213,55957,44250,46043,93,146,9.18,Barcelona,25-34
P0431,Instagram,5/9/2023,16:33,Video,66,1807,217,171,75,59653,15863,17091,149,130,12.84,Pokhara,35-44
P0432,Instagram,2/16/2023,20:39,Reel,148,840,13,35,22,19088,24304,25704,277,140,3.45,Pokhara,18-24
P0433,Instagram,10/8/2023,14:08,Video,159,2246,369,113,123,31741,12252,13065,203,7,20.88,Real Madrid,25-34
P0434,Twitter,5/7/2023,23:49,Story,175,1480,128,39,83,1784,22716,23109,282,37,7.13,Pokhara,25-34
P0435,YouTube,10/11/2023,5:24,Video,132,5848,185,403,303,13761,27032,29361,142,19,21.92,Barcelona,25-34
P0436,Instagram,9/29/2023,8:04,Text,249,515,15,20,33,47354,14611,15888,234,102,3.46,Barcelona,18-24
P0437,Twitter,7/6/2023,18:19,Image,194,528,77,20,25,54467,7850,8255,343,131,7.57,Pokhara,18-24
P0438,Twitter,6/28/2023,10:23,Image,110,6984,1360,598,5,37384,42653,44039,117,63,20.3,Pokhara,18-24
P0439,YouTube,11/15/2023,23:42,Reel,109,2787,258,179,86,47980,17062,18946,292,59,17.02,Kathmandu,25-34
P0440,YouTube,7/4/2023,8:26,Image,137,2242,369,27,101,57174,32551,35294,217,53,7.47,Barcelona,45-54
P0441,YouTube,10/16/2023,4:30,Image,109,1856,303,66,122,18038,46308,48843,129,145,4.56,Rasuwa,35-44
P0442,YouTube,8/24/2023,21:36,Video,57,1899,301,108,75,19751,15068,15169,349,103,15.22,Real Madrid,25-34
P0443,TikTok,3/13/2023,17:00,Video,228,86,10,8,4,23830,4265,4522,35,129,2.3,Kathmandu,35-44
P0444,Twitter,3/30/2023,13:50,Text,264,6868,318,630,429,31148,45745,47284,78,114,16.53,Pokhara,18-24
P0445,Instagram,1/15/2023,11:57,Reel,190,410,12,30,20,32939,3837,4135,307,36,10.93,Real Madrid,45-54
P0446,Twitter,10/18/2023,8:53,Image,132,1558,44,92,28,46798,41951,42362,278,136,4,Real Madrid,25-34
P0447,Twitter,5/2/2023,23:29,Image,111,4504,377,433,131,7389,28801,29657,331,93,17.92,Kathmandu,18-24
P0448,YouTube,12/29/2023,8:05,Story,126,1217,234,120,73,20875,40805,42384,328,77,3.71,Real Madrid,25-34
P0449,TikTok,4/19/2023,7:44,Reel,167,4061,156,341,21,10504,42720,45359,33,13,10.05,Pokhara,25-34
P0450,TikTok,11/12/2023,21:22,Reel,105,284,36,12,7,30946,17573,19466,26,142,1.71,Kathmandu,18-24
P0451,Twitter,1/20/2023,6:34,Reel,62,187,23,11,10,55423,24138,26480,336,8,0.83,Rasuwa,45-54
